area,bedrooms,bathrooms,age,location,furnishing,parking,condition,price
1050.0,2,2,16,Tier-1 City,Unfurnished,0,Excellent,3150000
1400.0,3,2,12,Metro City,Semi-Furnished,1,Poor,5600000
1050.0,2,2,5,Metro City,Unfurnished,2,Poor,7200000
1300.0,3,3,14,Metro City,Semi-Furnished,1,Excellent,6400000
900.0,2,2,7,Metro City,Semi-Furnished,0,Excellent,4000000
1024.0,2,2,0,Tier-2 City,Unfurnished,0,Good,2000000
1820.0,3,3,0,Metro City,Semi-Furnished,1,Excellent,8900000
1069.0,2,2,16,Metro City,Semi-Furnished,1,Good,4500000
1910.0,3,3,24,Metro City,Fully Furnished,1,Good,14200000
1662.0,3,3,8,Metro City,Unfurnished,1,Good,6800000
2105.0,2,2,3,Tier-2 City,Semi-Furnished,0,Good,1850000
516.0,1,1,9,Metro City,Semi-Furnished,0,Poor,3900000
1175.0,2,2,11,Metro City,Semi-Furnished,2,Poor,6800000
1200.0,2,1,16,Tier-1 City,Unfurnished,1,Excellent,3600000
2357.0,3,3,3,Metro City,Unfurnished,2,Good,13500000
1937.0,3,3,2,Metro City,Semi-Furnished,1,Poor,14000000
1404.0,2,2,6,Metro City,Unfurnished,1,Good,6950000
1445.0,3,3,8,Metro City,Fully Furnished,0,Poor,6500000
2690.0,4,4,15,Tier-2 City,Semi-Furnished,1,Excellent,6600000
1570.0,3,3,11,Rural Area,Unfurnished,0,Good,700000
1330.0,3,2,15,Metro City,Unfurnished,2,Good,5600000
1296.0,2,2,5,Rural Area,Unfurnished,3,Good,1450000
830.0,2,2,11,Metro City,Fully Furnished,1,Good,4000000
1280.0,3,2,9,Metro City,Unfurnished,0,Good,4800000
1200.0,2,2,5,Metro City,Semi-Furnished,1,Good,6200000
1305.0,3,2,14,Metro City,Unfurnished,2,Excellent,6000000
2250.0,3,3,1,Metro City,Semi-Furnished,1,Good,20000000
1783.0,3,3,20,Metro City,Fully Furnished,1,Good,11500000
1220.0,3,2,0,Metro City,Fully Furnished,1,Good,3500000
1400.0,2,2,20,Tier-1 City,Fully Furnished,0,Good,5500000
1150.0,2,2,6,Metro City,Fully Furnished,1,Good,5200000
1227.0,2,2,22,Metro City,Semi-Furnished,1,Good,4300000
1350.0,4,4,17,Metro City,Fully Furnished,2,Excellent,34000000
858.0,2,2,2,Metro City,Unfurnished,0,Good,3150000
600.0,2,2,13,Metro City,Fully Furnished,1,Good,3500000
1152.0,2,1,1,Metro City,Unfurnished,0,Good,6600000
1082.0,2,2,11,Metro City,Semi-Furnished,1,Excellent,6400000
1622.0,3,2,8,Metro City,Semi-Furnished,0,Poor,8000000
1710.0,3,3,3,Metro City,Semi-Furnished,1,Good,8500000
2400.0,3,2,1,Metro City,Unfurnished,0,Excellent,5000000
937.0,2,2,4,Tier-1 City,Fully Furnished,1,Poor,3100000
2400.0,4,5,9,Metro City,Fully Furnished,2,Good,13500000
3117.0,3,3,9,Tier-1 City,Unfurnished,0,Good,14850000
1130.0,2,2,3,Tier-1 City,Unfurnished,1,Excellent,4400000
1392.0,2,2,4,Metro City,Semi-Furnished,1,Good,9900000
1230.0,3,2,20,Metro City,Unfurnished,1,Good,3150000
1380.0,6,7,12,Metro City,Semi-Furnished,1,Poor,13000000
540.0,1,1,0,Metro City,Semi-Furnished,1,Excellent,3600000
1200.0,2,2,13,Metro City,Semi-Furnished,3,Good,3600000
1620.0,3,3,17,Metro City,Fully Furnished,0,Good,9500000
2640.0,3,5,10,Metro City,Unfurnished,1,Excellent,15000000
1090.0,2,2,0,Tier-2 City,Unfurnished,2,Good,1050000
960.0,4,4,10,Metro City,Unfurnished,1,Good,8000000
1310.0,3,2,2,Metro City,Semi-Furnished,1,Good,3800000
1464.0,3,3,16,Metro City,Fully Furnished,1,Poor,5600000
1850.0,3,3,0,Metro City,Unfurnished,0,Good,14600000
1141.0,2,2,0,Metro City,Semi-Furnished,2,Excellent,5500000
1027.0,2,2,11,Metro City,Unfurnished,1,Excellent,4400000
1368.0,2,2,10,Metro City,Fully Furnished,0,Good,8700000
1615.0,3,3,4,Metro City,Semi-Furnished,1,Excellent,9700000
1200.0,8,6,9,Metro City,Fully Furnished,1,Good,10500000
1069.0,2,2,5,Metro City,Semi-Furnished,2,Good,5500000
1028.0,2,2,9,Metro City,Fully Furnished,1,Good,5600000
1585.0,3,2,15,Metro City,Semi-Furnished,0,Poor,7900000
1343.5,3,3,14,Metro City,Fully Furnished,2,Good,5800000
1934.0,2,2,9,Metro City,Fully Furnished,1,Good,9000000
820.0,2,2,4,Tier-2 City,Semi-Furnished,1,Good,1200000
1050.0,2,2,10,Tier-2 City,Unfurnished,1,Excellent,3200000
1165.0,2,2,12,Metro City,Semi-Furnished,0,Good,4500000
1146.0,2,2,5,Metro City,Unfurnished,2,Excellent,7000000
870.0,2,2,0,Metro City,Semi-Furnished,1,Poor,2400000
1718.0,3,3,13,Metro City,Fully Furnished,0,Good,22300000
1345.0,2,2,9,Rural Area,Fully Furnished,1,Good,1450000
927.0,2,2,3,Tier-1 City,Unfurnished,0,Good,3500000
1250.0,2,2,16,Metro City,Unfurnished,1,Good,5550000
1451.0,2,2,13,Tier-2 City,Unfurnished,2,Good,3500000
410.0,1,1,16,Metro City,Unfurnished,0,Excellent,1000000
1092.0,2,2,6,Metro City,Semi-Furnished,1,Excellent,4400000
1453.0,3,2,21,Metro City,Semi-Furnished,2,Good,4650000
3555.0,4,4,12,Metro City,Unfurnished,1,Good,23000000
3124.0,4,6,1,Metro City,Semi-Furnished,2,Excellent,34900000
3290.0,3,4,7,Metro City,Semi-Furnished,0,Excellent,46000000
4000.0,4,5,12,Metro City,Unfurnished,1,Poor,21200000
1870.0,3,3,2,Metro City,Semi-Furnished,1,Good,13800000
5270.0,4,4,8,Metro City,Semi-Furnished,1,Excellent,125000000
1840.0,3,3,14,Tier-1 City,Semi-Furnished,3,Poor,5150000
1200.0,2,2,8,Metro City,Unfurnished,1,Good,5400000
1500.0,3,2,2,Metro City,Unfurnished,1,Good,7500000
1430.0,3,2,4,Rural Area,Semi-Furnished,1,Poor,850000
2403.0,4,5,11,Tier-2 City,Unfurnished,1,Excellent,10450000
1602.0,3,3,11,Metro City,Unfurnished,1,Good,5600000
905.0,2,2,2,Metro City,Semi-Furnished,0,Excellent,3200000
1350.0,3,3,6,Metro City,Fully Furnished,0,Good,7100000
1140.0,2,2,17,Tier-1 City,Semi-Furnished,1,Good,3500000
1075.0,3,2,19,Metro City,Semi-Furnished,1,Good,3700000
1310.0,2,2,2,Metro City,Semi-Furnished,1,Excellent,8500000
3170.0,4,5,12,Tier-1 City,Unfurnished,2,Excellent,13100000
1308.0,2,2,4,Metro City,Unfurnished,3,Good,8900000
600.0,5,3,8,Metro City,Semi-Furnished,1,Good,8600000
1545.0,3,3,0,Tier-1 City,Semi-Furnished,1,Good,4600000
638.0,1,1,1,Tier-1 City,Semi-Furnished,1,Good,2350000
1494.0,3,3,17,Metro City,Unfurnished,2,Excellent,8200000
1400.0,3,3,18,Metro City,Unfurnished,2,Good,6900000
1033.0,2,2,5,Metro City,Unfurnished,2,Good,2850000
1243.0,2,2,2,Metro City,Fully Furnished,1,Good,4600000
1600.0,3,3,20,Rural Area,Semi-Furnished,1,Good,700000
3252.0,4,4,6,Metro City,Unfurnished,0,Good,28000000
1340.0,3,2,12,Metro City,Semi-Furnished,1,Poor,10000000
2700.0,8,8,1,Metro City,Unfurnished,1,Good,29000000
1179.0,3,2,5,Metro City,Unfurnished,0,Good,5500000
800.0,3,3,20,Metro City,Semi-Furnished,2,Good,12000000
1600.0,3,3,0,Metro City,Fully Furnished,1,Poor,7450000
1200.0,3,3,2,Metro City,Fully Furnished,1,Good,14000000
595.0,1,1,16,Metro City,Semi-Furnished,3,Good,4000000
1975.0,3,3,11,Metro City,Unfurnished,1,Excellent,12300000
500.0,1,1,4,Metro City,Fully Furnished,1,Good,1800000
1530.0,3,2,1,Tier-2 City,Unfurnished,1,Good,2000000
2700.0,4,4,1,Metro City,Unfurnished,1,Good,26000000
1580.0,3,3,19,Metro City,Semi-Furnished,2,Excellent,5350000
1749.0,3,3,15,Metro City,Fully Furnished,0,Good,12000000
1876.0,3,3,1,Metro City,Fully Furnished,2,Good,16000000
3000.0,4,4,6,Metro City,Unfurnished,1,Good,33000000
2215.0,3,4,9,Metro City,Semi-Furnished,0,Good,31000000
1170.0,2,2,17,Metro City,Fully Furnished,2,Good,3800000
1590.0,2,2,6,Metro City,Fully Furnished,0,Good,10200000
1560.0,3,3,2,Tier-1 City,Semi-Furnished,0,Good,6650000
1266.0,2,2,21,Rural Area,Unfurnished,1,Excellent,800000
1213.0,2,2,4,Metro City,Fully Furnished,3,Good,5950000
1340.0,3,3,9,Metro City,Semi-Furnished,1,Good,9000000
1225.0,2,2,17,Tier-2 City,Semi-Furnished,0,Poor,2050000
1116.0,2,2,10,Metro City,Semi-Furnished,0,Good,5000000
1337.0,2,2,15,Metro City,Semi-Furnished,1,Good,8200000
1140.0,2,2,10,Metro City,Semi-Furnished,1,Good,5200000
2790.0,4,4,4,Metro City,Fully Furnished,1,Good,19800000
1173.0,2,2,22,Metro City,Unfurnished,0,Excellent,7700000
1215.0,2,2,18,Rural Area,Unfurnished,2,Poor,650000
1071.0,2,2,8,Tier-1 City,Semi-Furnished,1,Good,2950000
1400.0,3,2,10,Metro City,Unfurnished,1,Good,4050000
2259.0,4,3,21,Tier-1 City,Unfurnished,1,Excellent,9000000
1550.0,7,7,1,Tier-2 City,Fully Furnished,1,Good,6700000
1250.0,3,3,0,Metro City,Semi-Furnished,2,Good,4000000
1521.0,3,3,10,Metro City,Semi-Furnished,2,Good,9500000
1200.0,3,2,3,Metro City,Semi-Furnished,1,Good,30000000
900.0,4,4,0,Metro City,Semi-Furnished,2,Good,7500000
925.0,2,2,15,Tier-2 City,Unfurnished,3,Poor,950000
1630.0,2,2,3,Metro City,Unfurnished,2,Poor,20000000
1240.0,2,2,7,Tier-2 City,Semi-Furnished,1,Excellent,2950000
1100.0,2,2,4,Metro City,Semi-Furnished,1,Poor,4800000
1210.0,2,2,25,Metro City,Semi-Furnished,1,Good,6200000
1710.0,2,2,10,Rural Area,Unfurnished,3,Excellent,3650000
1655.0,3,3,17,Tier-2 City,Unfurnished,2,Good,3050000
935.0,2,2,23,Metro City,Fully Furnished,0,Poor,3200000
620.0,1,1,14,Metro City,Semi-Furnished,1,Good,8700000
1020.0,2,2,0,Metro City,Fully Furnished,1,Excellent,2950000
1185.0,2,2,15,Metro City,Unfurnished,0,Poor,4000000
1039.0,2,2,12,Metro City,Unfurnished,2,Good,8000000
1105.0,2,2,14,Metro City,Unfurnished,1,Poor,5100000
2400.0,5,5,6,Metro City,Unfurnished,1,Poor,62500000
1419.0,2,2,5,Tier-1 City,Semi-Furnished,1,Poor,2950000
2400.0,4,4,1,Metro City,Fully Furnished,1,Good,45000000
1950.0,3,3,0,Metro City,Unfurnished,2,Poor,13100000
1290.0,2,2,7,Metro City,Unfurnished,2,Good,12000000
1750.0,3,2,6,Metro City,Semi-Furnished,1,Good,8900000
4209.0,4,4,22,Tier-1 City,Unfurnished,1,Poor,40450000
1424.0,2,2,0,Metro City,Fully Furnished,1,Good,9000000
1700.0,3,3,16,Tier-1 City,Unfurnished,2,Poor,7700000
1200.0,4,2,9,Metro City,Fully Furnished,0,Good,9500000
600.0,3,3,6,Tier-1 City,Semi-Furnished,1,Poor,5000000
1027.0,2,2,22,Metro City,Unfurnished,1,Good,4400000
550.0,2,1,11,Metro City,Semi-Furnished,1,Excellent,1500000
1029.5,2,2,8,Metro City,Unfurnished,3,Poor,5100000
2842.0,3,3,13,Metro City,Unfurnished,1,Excellent,16200000
1290.0,2,2,10,Metro City,Fully Furnished,1,Good,9000000
2732.0,4,4,6,Metro City,Unfurnished,1,Good,20400000
1185.0,2,2,10,Metro City,Fully Furnished,1,Good,4300000
1200.0,2,2,1,Metro City,Fully Furnished,2,Good,6800000
1652.0,3,3,2,Metro City,Unfurnished,1,Excellent,8500000
1296.0,3,2,21,Metro City,Unfurnished,1,Excellent,5200000
500.0,1,2,4,Metro City,Semi-Furnished,1,Good,2400000
1060.0,3,2,2,Metro City,Semi-Furnished,0,Good,5850000
1015.0,2,2,8,Metro City,Semi-Furnished,3,Poor,4500000
1030.0,2,2,15,Metro City,Unfurnished,3,Excellent,5000000
950.0,2,2,9,Metro City,Semi-Furnished,1,Good,3200000
1083.0,2,2,9,Metro City,Unfurnished,1,Good,3250000
1220.0,2,2,12,Metro City,Unfurnished,2,Poor,5850000
1204.0,4,4,0,Rural Area,Unfurnished,1,Good,1300000
1330.0,2,2,18,Metro City,Semi-Furnished,1,Good,9300000
1150.0,8,9,9,Tier-2 City,Unfurnished,1,Good,5850000
1361.0,2,2,23,Rural Area,Fully Furnished,2,Excellent,1400000
835.0,2,2,22,Metro City,Semi-Furnished,2,Good,3700000
1200.0,2,2,6,Metro City,Semi-Furnished,0,Good,5200000
1115.0,2,2,12,Metro City,Unfurnished,1,Good,5000000
1096.0,2,2,20,Metro City,Semi-Furnished,1,Good,4050000
3675.0,4,4,8,Tier-1 City,Unfurnished,1,Good,12550000
1165.0,2,2,16,Metro City,Unfurnished,2,Excellent,3350000
1116.0,2,2,4,Tier-2 City,Unfurnished,2,Excellent,1950000
1040.0,2,2,18,Metro City,Semi-Furnished,3,Good,4900000
7800.0,5,6,10,Metro City,Semi-Furnished,2,Excellent,38500000
1300.0,3,2,7,Metro City,Semi-Furnished,1,Good,7500000
600.0,5,3,0,Metro City,Semi-Furnished,2,Good,14000000
1113.12,2,2,0,Tier-2 City,Unfurnished,1,Good,2000000
1575.0,2,2,3,Metro City,Semi-Furnished,2,Good,8500000
1056.0,2,2,10,Metro City,Semi-Furnished,2,Good,3300000
600.0,8,8,14,Metro City,Fully Furnished,2,Excellent,7000000
1470.0,2,2,24,Metro City,Fully Furnished,1,Good,6150000
1295.0,2,2,13,Metro City,Fully Furnished,2,Excellent,7000000
1375.0,3,3,14,Tier-2 City,Fully Furnished,1,Good,2750000
1190.0,2,2,19,Metro City,Semi-Furnished,1,Good,3400000
1080.0,2,2,7,Metro City,Semi-Furnished,0,Excellent,3800000
1061.0,2,2,11,Metro City,Fully Furnished,1,Poor,3900000
1270.0,2,2,6,Metro City,Semi-Furnished,0,Excellent,7300000
957.0,2,2,6,Metro City,Unfurnished,1,Good,5250000
870.0,2,2,13,Metro City,Semi-Furnished,2,Poor,3950000
1173.0,2,2,4,Tier-2 City,Unfurnished,3,Poor,2750000
1345.0,3,2,3,Metro City,Fully Furnished,0,Excellent,4700000
1630.0,3,2,14,Metro City,Fully Furnished,1,Poor,13000000
1200.0,4,4,4,Metro City,Semi-Furnished,1,Poor,16500000
720.0,4,4,19,Tier-2 City,Semi-Furnished,1,Good,3100000
2000.0,4,4,1,Metro City,Unfurnished,1,Poor,7550000
1200.0,6,7,10,Metro City,Fully Furnished,0,Good,25000000
600.0,4,3,10,Metro City,Fully Furnished,2,Poor,7300000
1125.0,2,2,15,Metro City,Unfurnished,0,Good,3700000
1200.0,3,3,2,Metro City,Fully Furnished,2,Good,7000000
2254.0,3,3,4,Metro City,Semi-Furnished,0,Excellent,17000000
883.0,2,2,0,Metro City,Semi-Furnished,1,Good,3700000
1091.0,2,2,14,Metro City,Semi-Furnished,1,Good,3200000
1680.0,3,3,10,Tier-2 City,Unfurnished,1,Good,5300000
650.0,2,1,11,Metro City,Unfurnished,0,Excellent,1700000
1095.0,2,2,10,Metro City,Semi-Furnished,1,Good,3850000
900.0,2,2,13,Metro City,Semi-Furnished,2,Excellent,9500000
900.0,3,2,10,Tier-2 City,Fully Furnished,1,Good,2350000
1285.0,2,2,3,Metro City,Semi-Furnished,1,Good,7800000
2040.0,3,3,12,Metro City,Fully Furnished,1,Excellent,20000000
2710.0,4,5,3,Rural Area,Semi-Furnished,0,Good,1400000
2000.0,4,4,2,Metro City,Fully Furnished,2,Good,13500000
1664.0,3,3,18,Metro City,Semi-Furnished,1,Excellent,9400000
2378.0,3,3,8,Metro City,Semi-Furnished,0,Poor,26200000
1065.0,2,2,11,Metro City,Semi-Furnished,1,Excellent,3100000
1847.0,3,3,6,Metro City,Semi-Furnished,2,Good,13500000
1693.0,3,3,8,Tier-2 City,Unfurnished,1,Excellent,5350000
1065.0,2,2,14,Metro City,Fully Furnished,1,Excellent,4250000
600.0,3,3,11,Metro City,Unfurnished,1,Excellent,5800000
1200.0,2,2,7,Metro City,Semi-Furnished,1,Good,4800000
509.0,1,1,20,Metro City,Semi-Furnished,2,Good,2300000
1839.0,3,3,1,Metro City,Semi-Furnished,1,Good,16000000
1000.0,8,7,18,Metro City,Semi-Furnished,0,Excellent,16000000
1300.0,6,6,3,Metro City,Fully Furnished,0,Good,15000000
1150.0,2,2,13,Metro City,Semi-Furnished,0,Excellent,4600000
900.0,2,2,6,Metro City,Semi-Furnished,0,Good,2700000
1355.0,2,2,1,Metro City,Semi-Furnished,3,Excellent,7800000
3445.0,4,5,10,Metro City,Semi-Furnished,3,Good,27000000
1205.0,2,2,2,Metro City,Unfurnished,1,Excellent,7000000
2010.0,4,3,17,Metro City,Fully Furnished,1,Good,12500000
3300.0,8,8,3,Metro City,Fully Furnished,0,Good,31000000
1430.0,3,3,15,Metro City,Semi-Furnished,2,Good,6100000
810.0,1,1,7,Metro City,Semi-Furnished,2,Excellent,2100000
1305.0,3,3,22,Metro City,Semi-Furnished,0,Poor,6000000
3750.0,4,4,16,Metro City,Semi-Furnished,1,Excellent,19000000
1180.0,2,2,19,Tier-1 City,Semi-Furnished,2,Good,9000000
2600.0,3,3,21,Metro City,Unfurnished,1,Excellent,19500000
1755.0,3,3,23,Metro City,Semi-Furnished,1,Good,10100000
1197.0,2,2,4,Metro City,Semi-Furnished,1,Good,7800000
1202.0,2,2,2,Metro City,Semi-Furnished,1,Good,5300000
1200.0,2,2,5,Metro City,Semi-Furnished,2,Good,4200000
1435.0,3,2,7,Metro City,Unfurnished,1,Excellent,11500000
1100.0,4,2,5,Metro City,Semi-Furnished,1,Excellent,6000000
2400.0,9,6,16,Metro City,Semi-Furnished,0,Good,27000000
1060.0,2,2,19,Metro City,Unfurnished,1,Excellent,5800000
1225.0,2,2,12,Metro City,Unfurnished,2,Good,5700000
840.0,6,8,2,Metro City,Semi-Furnished,1,Excellent,12000000
2440.0,4,5,0,Tier-2 City,Unfurnished,0,Poor,12000000
1070.0,2,2,3,Tier-2 City,Semi-Furnished,2,Good,2300000
1100.0,2,2,12,Metro City,Semi-Furnished,1,Good,4600000
1836.0,3,3,3,Metro City,Semi-Furnished,1,Good,12500000
1200.0,4,4,13,Metro City,Semi-Furnished,0,Good,17500000
1050.0,2,2,21,Metro City,Fully Furnished,1,Excellent,4800000
2400.0,5,5,8,Metro City,Unfurnished,0,Good,20000000
2065.0,4,4,13,Metro City,Semi-Furnished,2,Poor,24800000
777.0,1,1,14,Metro City,Semi-Furnished,0,Good,3850000
1000.0,2,2,6,Tier-1 City,Semi-Furnished,0,Good,2150000
1050.0,2,2,7,Metro City,Unfurnished,1,Good,5100000
1339.0,2,2,1,Metro City,Semi-Furnished,2,Good,7150000
1800.0,3,3,10,Metro City,Semi-Furnished,1,Good,26000000
1192.0,3,2,12,Metro City,Fully Furnished,1,Good,6000000
1282.0,3,2,3,Metro City,Unfurnished,1,Excellent,6850000
923.0,2,2,0,Tier-2 City,Semi-Furnished,2,Good,1750000
1240.0,3,3,2,Metro City,Semi-Furnished,1,Excellent,6000000
1365.0,3,2,1,Metro City,Unfurnished,1,Poor,7200000
1800.0,3,3,9,Metro City,Unfurnished,1,Good,23000000
1980.0,3,4,7,Metro City,Fully Furnished,0,Excellent,16600000
660.0,2,1,6,Metro City,Semi-Furnished,2,Poor,1550000
1012.0,2,2,9,Metro City,Unfurnished,2,Excellent,5450000
2400.0,5,5,16,Metro City,Semi-Furnished,0,Good,62500000
600.0,4,5,25,Metro City,Semi-Furnished,2,Good,9900000
1900.0,3,3,9,Metro City,Semi-Furnished,2,Good,13500000
1255.0,2,2,6,Rural Area,Semi-Furnished,1,Good,1300000
980.0,2,2,9,Metro City,Fully Furnished,1,Good,5100000
1075.0,3,2,4,Metro City,Unfurnished,2,Good,9000000
1512.0,2,1,12,Metro City,Fully Furnished,1,Good,6500000
1200.0,3,2,16,Tier-2 City,Semi-Furnished,0,Good,2600000
9600.0,5,6,18,Metro City,Fully Furnished,3,Good,180000000
1200.0,3,3,1,Metro City,Semi-Furnished,2,Good,5600000
630.5,1,1,21,Metro City,Unfurnished,1,Good,3300000
1200.0,2,2,2,Tier-2 City,Fully Furnished,2,Poor,1600000
1157.0,2,2,10,Metro City,Unfurnished,1,Good,4000000
980.0,2,2,2,Metro City,Semi-Furnished,1,Excellent,4000000
2950.0,4,4,7,Metro City,Semi-Furnished,1,Excellent,25000000
920.0,2,2,16,Metro City,Semi-Furnished,0,Good,3500000
1200.0,5,5,23,Rural Area,Fully Furnished,2,Excellent,3250000
1200.0,4,4,0,Metro City,Unfurnished,0,Good,22500000
1167.0,2,2,5,Metro City,Semi-Furnished,2,Excellent,6400000
985.0,2,2,3,Metro City,Semi-Furnished,1,Good,5000000
675.0,1,1,0,Metro City,Semi-Furnished,1,Good,3500000
2197.0,3,3,12,Metro City,Semi-Furnished,0,Excellent,13600000
2400.0,4,3,12,Rural Area,Semi-Furnished,1,Good,6900000
1405.0,3,2,25,Metro City,Semi-Furnished,0,Good,7800000
1700.0,3,3,16,Metro City,Semi-Furnished,1,Excellent,13500000
1404.0,2,2,11,Metro City,Unfurnished,1,Good,7200000
1305.0,3,3,15,Metro City,Unfurnished,2,Excellent,3350000
750.0,1,1,5,Metro City,Unfurnished,1,Good,4000000
1060.0,2,2,11,Rural Area,Semi-Furnished,0,Good,800000
3750.0,5,6,1,Metro City,Semi-Furnished,1,Poor,29500000
1135.0,8,4,1,Metro City,Fully Furnished,1,Excellent,19000000
1500.0,3,3,0,Tier-2 City,Unfurnished,1,Good,2700000
1920.0,3,3,16,Metro City,Semi-Furnished,2,Good,15000000
1550.0,3,3,0,Metro City,Unfurnished,0,Good,7250000
2367.0,3,3,9,Metro City,Unfurnished,1,Good,32000000
1690.0,3,2,0,Metro City,Unfurnished,1,Poor,5500000
1423.0,3,2,24,Metro City,Semi-Furnished,1,Excellent,8500000
1032.0,2,2,14,Metro City,Semi-Furnished,1,Good,4200000
2100.0,3,4,4,Metro City,Unfurnished,1,Good,14500000
1586.0,3,3,3,Metro City,Semi-Furnished,1,Excellent,7000000
662.0,1,1,0,Tier-1 City,Fully Furnished,1,Excellent,2850000
1208.0,3,2,13,Tier-2 City,Semi-Furnished,1,Good,1200000
1260.0,2,2,18,Metro City,Semi-Furnished,1,Good,4550000
1850.0,3,3,3,Metro City,Fully Furnished,1,Poor,9000000
1176.0,2,2,21,Metro City,Semi-Furnished,2,Good,6200000
1710.0,3,4,20,Metro City,Unfurnished,2,Good,9150000
1250.0,3,2,10,Tier-1 City,Fully Furnished,2,Good,5700000
2400.0,8,6,13,Metro City,Semi-Furnished,0,Excellent,12500000
1050.0,2,2,25,Metro City,Semi-Furnished,0,Good,8000000
2145.0,3,3,12,Metro City,Semi-Furnished,1,Excellent,18000000
1660.0,3,3,4,Metro City,Semi-Furnished,2,Poor,7500000
1250.0,3,2,6,Metro City,Semi-Furnished,2,Good,7000000
3339.0,3,3,14,Metro City,Semi-Furnished,2,Poor,25000000
1200.0,6,6,7,Metro City,Fully Furnished,1,Good,25000000
1865.0,3,3,17,Metro City,Fully Furnished,1,Excellent,14500000
970.0,2,2,4,Tier-1 City,Unfurnished,3,Good,2100000
1250.0,3,3,1,Tier-1 City,Semi-Furnished,1,Poor,3200000
1660.0,3,3,0,Metro City,Semi-Furnished,1,Good,11600000
1280.0,3,2,13,Rural Area,Semi-Furnished,2,Good,950000
865.0,2,2,9,Metro City,Semi-Furnished,2,Excellent,3300000
1400.0,2,2,13,Rural Area,Unfurnished,1,Good,1600000
1750.0,3,3,18,Metro City,Semi-Furnished,1,Poor,7500000
2560.0,4,4,20,Metro City,Fully Furnished,2,Excellent,7500000
2400.0,5,5,11,Metro City,Unfurnished,1,Good,27500000
1800.0,4,3,3,Metro City,Semi-Furnished,1,Excellent,19000000
888.0,2,2,6,Tier-1 City,Unfurnished,2,Good,2100000
1464.0,2,2,5,Metro City,Unfurnished,2,Good,5600000
1194.0,2,2,2,Metro City,Unfurnished,2,Good,6900000
1150.0,3,3,10,Metro City,Semi-Furnished,1,Good,6500000
1260.0,3,2,2,Rural Area,Semi-Furnished,0,Good,600000
1425.0,3,2,0,Metro City,Unfurnished,0,Good,9400000
1633.0,2,2,15,Metro City,Semi-Furnished,2,Poor,7200000
1200.0,5,5,8,Metro City,Fully Furnished,1,Good,18000000
1342.0,2,2,3,Metro City,Fully Furnished,1,Good,11500000
2340.0,4,5,6,Metro City,Semi-Furnished,1,Good,16000000
1200.0,5,4,19,Metro City,Unfurnished,2,Excellent,18500000
1294.0,3,2,16,Metro City,Fully Furnished,1,Good,5200000
